,Дата,Номер штабеля,Макс. темп. штабеля,"Вес, тн",t воздуха,Влажность,Скорость ветра,Осадки,Пожар (3 дня)
0,2019-11-23,307,19.2,20705.855499999994,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
1,2019-11-23,317,20.5,32158.857499999984,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
2,2019-11-23,331,18.3,261986.9150000001,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
3,2019-11-23,336,17.7,264238.0635,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
4,2019-11-23,409,22.6,66039.89150000013,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
5,2019-11-23,410,16.7,22825.645,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
6,2019-11-23,419,19.9,363801.18149999995,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
7,2019-11-23,446,16.1,40952.79600000009,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
8,2019-11-23,447,16.1,216822.13949999996,2.254166666666667,75.91666666666667,38.02916666666667,0.0,0
9,2019-11-24,307,17.3,20705.855499999994,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
10,2019-11-24,317,16.6,32547.111999999983,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
11,2019-11-24,331,18.1,263645.1545000001,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
12,2019-11-24,336,16.9,83397.92849999998,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
13,2019-11-24,409,21.3,66039.89150000013,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
14,2019-11-24,410,18.6,37640.873,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
15,2019-11-24,419,19.2,363801.18149999995,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
16,2019-11-24,446,36.2,55525.289500000086,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
17,2019-11-24,447,19.4,216822.13949999996,3.3791666666666664,77.83333333333333,29.037499999999998,0.0,0
18,2019-11-25,307,18.8,20705.855499999994,5.375,83.25,23.8125,0.004166666666666667,0
19,2019-11-25,317,13.3,32547.111999999983,5.375,83.25,23.8125,0.004166666666666667,0
20,2019-11-25,331,14.3,264197.9010000001,5.375,83.25,23.8125,0.004166666666666667,0
21,2019-11-25,336,11.8,84753.09199999998,5.375,83.25,23.8125,0.004166666666666667,0
22,2019-11-25,409,44.7,66039.89150000013,5.375,83.25,23.8125,0.004166666666666667,0
23,2019-11-25,410,18.4,64916.1235,5.375,83.25,23.8125,0.004166666666666667,0
24,2019-11-25,419,19.9,365140.85799999995,5.375,83.25,23.8125,0.004166666666666667,0
25,2019-11-25,446,28.1,74539.51750000009,5.375,83.25,23.8125,0.004166666666666667,0
26,2019-11-25,447,23.1,216822.13949999996,5.375,83.25,23.8125,0.004166666666666667,0
27,2019-11-26,307,16.2,20705.855499999994,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
28,2019-11-26,317,13.3,32547.111999999983,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
29,2019-11-26,331,15.6,264197.9010000001,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
30,2019-11-26,336,14.9,113090.05199999997,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
31,2019-11-26,409,63.1,66039.89150000013,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
32,2019-11-26,410,10.3,65506.7885,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
33,2019-11-26,419,12.0,384561.23299999995,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
34,2019-11-26,446,30.7,99553.58950000009,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
35,2019-11-26,447,13.1,216822.13949999996,7.733333333333333,79.625,27.516666666666666,0.05416666666666667,0
36,2019-11-27,307,14.5,20705.855499999994,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
37,2019-11-27,317,14.8,32547.111999999983,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
38,2019-11-27,331,16.6,264197.9010000001,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
39,2019-11-27,336,13.4,115817.47249999997,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
40,2019-11-27,409,17.6,802.4000000001251,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
41,2019-11-27,410,15.7,80086.762,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
42,2019-11-27,419,14.1,340054.3745,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
43,2019-11-27,446,16.2,100330.64250000009,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
44,2019-11-27,447,12.3,216822.13949999996,11.083333333333334,89.33333333333333,20.954166666666666,0.15416666666666665,0
